Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/22  18:00:00,358683024.155011,358683024.155011,8697728.76866982,32477132.3362987,69106004.4057847 
 06/22  19:00:00,338127716.748317,338127716.748317,4597200.,35050052.8743848,59822356.0541363 
 06/22  20:00:00,340455350.317891,340455350.317891,8661656.81155469,27134576.2195897,59822356.0541363 
 06/22  21:00:00,336290407.885918,336290407.885918,4597200.,27302827.8427063,55180531.8783121 
 06/22  22:00:00,240374753.769657,240374753.769657,4597200.,13651413.9213531,55180531.8783121 
 06/22  23:00:00,126066086.221546,126066086.221546,4597200.,6825706.96067657,55180531.8783121 
 06/22  24:00:00,72339991.872542,72339991.872542,4597200.,7915463.67251136,44533202.0018108 
 06/23  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/23  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/23  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/23  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/23  05:00:00,80259352.3606098,80259352.3606098,4597200.,15830927.3450227,44533202.0018108 
 06/23  06:00:00,317071184.070601,317071184.070601,4597200.,13390639.8006321,55180531.8783121 
 06/23  07:00:00,357129690.024931,357129690.024931,4597200.,33889613.3776812,95796493.4167736 
 06/23  08:00:00,546974320.603821,546974320.603821,4597200.,96960945.1459779,204227663.75917 
 06/23  09:00:00,536670464.412045,536670464.412045,4597200.,96660690.5880896,174055806.616312 
 06/23  10:00:00,547489937.448471,547489937.448471,4597200.,96660690.5880896,167093070.352576 
 06/23  11:00:00,543084855.874518,543084855.874518,17671436.4814737,96660690.5880896,174055806.616312 
 06/23  12:00:00,548021436.473068,548021436.473068,17997935.7718004,96660690.5880896,177667514.306075 
 06/23  13:00:00,566888223.564628,566888223.564627,14050987.3093726,96660690.5880896,179858086.836092 
 06/23  14:00:00,530711488.080424,530711488.080424,12545036.6602333,98416219.5521195,167093070.352576 
 06/23  15:00:00,499627611.804445,499627611.804445,13027297.2305698,97000157.9914164,167093070.352576 
 06/23  16:00:00,527722670.539179,527722670.539179,13250232.0771941,96660690.5880896,177537174.74818 
 06/23  17:00:00,439089076.421079,439089076.421079,8744180.59887969,53733832.4425883,140923939.573165 
 06/23  18:00:00,342993189.136822,342993189.136822,4597200.,32592016.6263353,69106004.4057847 
 06/23  19:00:00,328646202.304336,328646202.304336,8643995.19624808,35771509.7493218,59822356.0541363 
