Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/13  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  05:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  06:00:00,56433048.1820147,56433048.1820147,4597200.,6736757.16684984,41385398.9087341 
 08/13  07:00:00,48301783.3352313,48301783.3352313,4597200.,5895481.68408582,41385398.9087341 
 08/13  08:00:00,47855414.1319824,47855414.1319824,4597200.,5449382.27046559,41385398.9087341 
 08/13  09:00:00,47782281.9141288,47782281.9141288,4597200.,5376309.60134053,41385398.9087341 
 08/13  10:00:00,66153675.0394904,66153675.0394904,4597200.,5370038.36600498,41385398.9087341 
 08/13  11:00:00,81259163.2366101,81259163.2366101,4597200.,5370038.36600498,41385398.9087341 
 08/13  12:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/13  13:00:00,84179303.3529354,84179303.3529354,4597200.,5370038.36600498,41385398.9087341 
 08/13  14:00:00,64091214.5651491,64091214.5651491,4597200.,5370038.36600498,41385398.9087341 
 08/13  15:00:00,86550353.0542664,86550353.0542664,4597200.,5370038.36600498,41385398.9087341 
 08/13  16:00:00,97413270.8147203,97413270.8147203,4597200.,5370038.36600498,41385398.9087341 
 08/13  17:00:00,105759132.67699,105759132.67699,4597200.,5378400.56163959,41385398.9087341 
 08/13  18:00:00,71567080.2335875,71567080.2335875,4597200.,6383774.71135666,33399901.5013581 
 08/13  19:00:00,41530472.3762277,41530472.3762277,4597200.,7250644.50694561,33399901.5013581 
 08/13  20:00:00,71353746.7195903,71353746.7195903,4597200.,7915463.67251137,33399901.5013581 
 08/13  21:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  22:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
